Date,Price,Open,High,Low,Vol.,Change %
2018-01-23,89.915,90.155,90.395,89.845,20.36K,-0.31%
2018-01-24,89.011,89.875,89.905,88.955,32.30K,-1.01%
2018-01-25,89.227,89.095,89.415,88.255,77.36K,0.24%
2018-01-26,88.891,89.17,89.18,88.565,33.16K,-0.38%
2018-01-29,89.131,88.95,89.44,88.835,25.77K,0.27%
2018-01-30,88.999,89.215,89.48,88.74,26.24K,-0.15%
2018-01-31,88.954,88.95,89.135,88.615,29.18K,-0.05%
2018-02-01,88.505,88.935,89.17,88.385,23.88K,-0.50%
2018-02-02,89.036,88.49,89.275,88.44,32.68K,0.60%
2018-02-05,89.405,89.185,89.58,88.875,37.14K,0.41%
2018-02-06,89.451,89.465,89.92,89.235,40.15K,0.05%
2018-02-07,90.118,89.49,90.275,89.325,33.06K,0.75%
2018-02-08,90.116,90.155,90.455,89.895,35.27K,0.00%
2018-02-09,90.334,90.16,90.45,90.005,34.96K,0.24%
2018-02-12,90.096,90.25,90.31,89.955,19.21K,-0.26%
2018-02-13,89.592,90.06,90.07,89.49,20.99K,-0.56%
2018-02-14,89.005,89.595,90.02,88.835,39.24K,-0.66%
2018-02-15,88.505,88.89,88.89,88.445,27.69K,-0.56%
2018-02-16,89.013,88.5,89.15,88.15,26.17K,0.57%
2018-02-19,89.013,89.005,89.355,88.865,11.42K,0.00%
2018-02-20,89.636,89.165,89.72,89.155,17.88K,0.70%
2018-02-21,89.913,89.675,90.06,89.49,23.07K,0.31%
2018-02-22,89.656,90.055,90.17,89.56,24.08K,-0.29%
2018-02-23,89.808,89.705,89.99,89.69,16.56K,0.17%
2018-02-26,89.79,89.88,90,89.425,20.83K,-0.02%
2018-02-27,90.28,89.675,90.435,89.62,29.72K,0.55%
2018-02-28,90.551,90.305,90.65,90.245,24.71K,0.30%
2018-03-01,90.281,90.655,90.885,90.16,39.78K,-0.30%
2018-03-02,89.906,90.2,90.26,89.835,25.82K,-0.42%
2018-03-05,90.041,89.83,90.19,89.65,24.45K,0.15%
2018-03-06,89.59,89.92,90.035,89.47,32.81K,-0.50%
2018-03-07,89.607,89.49,89.745,89.33,23.59K,0.02%
2018-03-08,90.156,89.585,90.215,89.42,31.83K,0.61%
2018-03-09,90.065,90.175,90.365,89.965,25.55K,-0.10%
2018-03-12,89.867,90.065,90.165,89.815,23.38K,-0.22%
2018-03-13,89.643,89.87,90.09,89.565,27.20K,-0.25%
2018-03-14,89.687,89.685,89.875,89.54,24.99K,0.05%
2018-03-15,90.126,89.695,90.165,89.62,21.07K,0.49%
2018-03-16,90.212,90.12,90.375,89.875,9.39K,0.10%
2018-03-19,89.983,90.18,90.35,89.97,1.71K,-0.25%
2018-03-20,89.954,89.47,90.025,89.41,18.11K,-0.03%
2018-03-21,89.369,89.98,89.985,89.215,32.86K,-0.65%
2018-03-22,89.473,89.265,89.575,88.99,26.35K,0.12%
2018-03-23,89.033,89.325,89.345,88.975,22.74K,-0.49%
2018-03-26,88.604,89.04,89.105,88.56,25.80K,-0.48%
2018-03-27,88.983,88.625,89.25,88.53,24.99K,0.43%
2018-03-28,89.719,88.97,89.82,88.895,32.56K,0.83%
2018-03-29,89.812,89.725,89.84,89.575,17.76K,0.10%
2018-04-02,89.706,89.68,89.81,89.41,13.28K,-0.12%
2018-04-03,89.859,89.73,89.945,89.515,19.80K,0.17%
2018-04-04,89.783,89.8,89.895,89.57,15.11K,-0.08%
2018-04-05,90.154,89.745,90.27,89.74,25.72K,0.41%
2018-04-06,89.782,90.07,90.295,89.745,22.63K,-0.41%
2018-04-09,89.534,89.85,89.98,89.51,22.27K,-0.28%
2018-04-10,89.28,89.545,89.665,89.23,21.99K,-0.28%
2018-04-11,89.253,89.28,89.365,89.02,18.44K,-0.03%
2018-04-12,89.456,89.21,89.675,89.16,23.61K,0.23%
2018-04-13,89.503,89.46,89.59,89.37,12.80K,0.05%
2018-04-16,89.135,89.5,89.555,89.085,17.09K,-0.41%
2018-04-17,89.228,89.115,89.385,88.945,14.99K,0.10%
2018-04-18,89.347,89.225,89.5,89.165,19.77K,0.13%
2018-04-19,89.695,89.355,89.71,89.235,24.76K,0.39%
2018-04-20,90.075,89.655,90.245,89.64,31.76K,0.42%
2018-04-23,90.705,90.14,90.75,90.08,31.08K,0.70%
2018-04-24,90.537,90.695,90.85,90.475,24.27K,-0.19%
2018-04-25,90.953,90.54,91.035,90.515,26.43K,0.46%
2018-04-26,91.365,91.005,91.44,90.745,38.97K,0.45%
2018-04-27,91.343,91.385,91.79,91.29,30.52K,-0.02%
2018-04-30,91.63,91.345,91.71,91.28,23.56K,0.31%
2018-05-01,92.255,91.62,92.37,91.595,27.41K,0.68%
2018-05-02,92.339,92.295,92.665,92.04,38.90K,0.09%
2018-05-03,92.251,92.59,92.6,92.185,23.02K,-0.10%
2018-05-04,92.408,92.27,92.755,92.19,25.44K,0.17%
2018-05-07,92.592,92.415,92.825,92.29,19.36K,0.20%
2018-05-08,92.958,92.555,93.135,92.505,29.98K,0.40%
2018-05-09,92.884,92.905,93.26,92.695,26.45K,-0.08%
2018-05-10,92.516,93.005,93.03,92.39,34.75K,-0.40%
2018-05-11,92.411,92.605,92.71,92.235,20.26K,-0.11%
2018-05-14,92.462,92.425,92.55,92.115,17.87K,0.06%
2018-05-15,93.093,92.53,93.345,92.48,29.91K,0.68%
2018-05-16,93.281,93.22,93.515,93.015,28.24K,0.20%
2018-05-17,93.375,93.195,93.48,93.005,21.66K,0.10%
2018-05-18,93.544,93.44,93.74,93.24,19.44K,0.18%
2018-05-21,93.581,93.585,93.965,93.42,22.28K,0.04%
2018-05-22,93.526,93.46,93.65,93.2,20.94K,-0.06%
2018-05-23,93.918,93.45,94.115,93.425,28.84K,0.42%
2018-05-24,93.701,93.85,93.91,93.545,22.33K,-0.23%
2018-05-25,94.13,93.735,94.24,93.69,23.15K,0.46%
2018-05-28,94.13,94.06,94.435,93.805,15.15K,0.00%
2018-05-29,94.789,94.345,94.975,94.235,35.74K,0.70%
2018-05-30,94.115,94.8,94.925,93.985,37.62K,-0.71%
2018-05-31,93.959,94.05,94.215,93.69,32.32K,-0.17%
2018-06-01,94.169,93.96,94.435,93.855,28.83K,0.22%
2018-06-04,93.986,94.165,94.165,93.63,16.76K,-0.19%
2018-06-05,93.871,93.985,94.295,93.755,20.63K,-0.12%
2018-06-06,93.634,93.805,93.865,93.385,25.22K,-0.25%
2018-06-07,93.376,93.585,93.585,93.19,18.38K,-0.28%
2018-06-08,93.537,93.47,93.825,93.38,18.65K,0.17%
2018-06-11,93.56,93.51,93.67,93.355,19.87K,0.02%
2018-06-12,93.801,93.68,93.915,93.455,24.79K,0.26%
2018-06-13,93.699,93.815,94.04,93.52,42.47K,-0.11%
2018-06-14,94.776,93.49,94.945,93.18,31.06K,1.15%
2018-06-15,94.782,94.955,95.13,94.665,10.09K,0.01%
2018-06-18,94.858,94.875,95,94.75,0.18K,0.08%
2018-06-19,94.729,94.345,94.945,94.175,26.77K,-0.14%
2018-06-20,94.716,94.645,94.985,94.585,16.23K,-0.01%
2018-06-21,94.404,94.79,95.22,94.34,28.34K,-0.33%
2018-06-22,94.18,94.55,94.55,94.095,18.27K,-0.24%
