Date,Price,Open,High,Low,Vol.,Change %
2018-03-14,7132.69,7138.78,7176.51,7122.76,775.44M,-0.09%
2018-03-15,7139.76,7132.69,7162.58,7127.08,833.05M,0.10%
2018-03-16,7164.14,7139.76,7187.27,7131.31,1.42B,0.34%
2018-03-19,7042.93,7164.14,7164.19,7034.91,750.73M,-1.69%
2018-03-20,7061.27,7042.93,7081.5,7042.6,764.83M,0.26%
2018-03-21,7038.97,7061.27,7065.66,7016.79,785.55M,-0.32%
2018-03-22,6952.59,7038.97,7038.97,6914.45,887.62M,-1.23%
2018-03-23,6921.94,6952.59,6952.82,6876.96,906.20M,-0.44%
2018-03-26,6888.69,6921.94,6958.47,6866.94,788.73M,-0.48%
2018-03-27,7000.14,6888.69,7042.37,6888.69,712.08M,1.62%
2018-03-28,7044.74,7000.14,7044.74,6923.33,785.93M,0.64%
2018-03-29,7056.61,7044.74,7109.93,7042.73,900.25M,0.17%
2018-04-03,7030.46,7056.61,7064.98,6996.76,814.72M,-0.37%
2018-04-04,7034.01,7030.46,7046.26,6971.75,818.65M,0.05%
2018-04-05,7199.5,7034.01,7199.5,7034.01,819.22M,2.35%
2018-04-06,7183.64,7199.5,7214.02,7163.11,676.29M,-0.22%
2018-04-09,7194.75,7183.64,7209.68,7145.57,691.58M,0.15%
2018-04-10,7266.75,7194.75,7266.75,7194.75,778.17M,1.00%
2018-04-11,7257.14,7266.75,7270.28,7243.32,789.65M,-0.13%
2018-04-12,7258.34,7257.14,7266.64,7240.76,687.15M,0.02%
2018-04-13,7264.56,7258.34,7274.99,7249.07,677.12M,0.09%
2018-04-16,7198.2,7264.56,7265.83,7195.46,889.30M,-0.91%
2018-04-17,7226.05,7198.2,7240.41,7189.85,735.88M,0.39%
2018-04-18,7317.34,7226.05,7325.59,7226.05,904.18M,1.26%
2018-04-19,7328.92,7317.34,7340.73,7309.42,811.86M,0.16%
2018-04-20,7368.17,7328.92,7368.17,7323.31,792.27M,0.54%
2018-04-23,7398.87,7368.17,7404.11,7359.73,799.46M,0.42%
2018-04-24,7425.4,7398.87,7439.58,7397.29,862.03M,0.36%
2018-04-25,7379.32,7425.4,7427.13,7334.64,906.77M,-0.62%
2018-04-26,7421.43,7379.32,7421.43,7355,839.86M,0.57%
2018-04-27,7502.21,7421.43,7507.12,7421.28,773.11M,1.09%
2018-04-30,7509.3,7502.21,7546.16,7497.11,1.02B,0.09%
2018-05-01,7520.36,7509.3,7549.07,7506.57,584.61M,0.15%
2018-05-02,7543.2,7520.36,7572.98,7519.62,855.11M,0.30%
2018-05-03,7502.69,7543.2,7555.18,7492.39,745.26M,-0.54%
2018-05-04,7567.14,7502.69,7570.22,7502.69,886.34M,0.86%
2018-05-08,7565.75,7567.14,7598.51,7550.44,896.88M,-0.02%
2018-05-09,7662.52,7565.75,7662.52,7565.75,918.68M,1.28%
2018-05-10,7700.97,7662.52,7706.87,7631.58,901.48M,0.50%
2018-05-11,7724.55,7700.97,7728.89,7691.69,754.16M,0.31%
2018-05-14,7710.98,7724.55,7727.96,7688.57,772.86M,-0.18%
2018-05-15,7722.98,7710.98,7752.02,7687.49,1.06B,0.16%
2018-05-16,7734.2,7722.98,7745.53,7717.76,959.90M,0.15%
2018-05-17,7787.97,7734.2,7788.23,7713.85,802.62M,0.70%
2018-05-18,7778.79,7787.97,7791.41,7753.27,927.55M,-0.12%
2018-05-21,7859.17,7778.79,7868.12,7778.12,713.10M,1.03%
2018-05-22,7877.45,7859.17,7903.5,7854.58,829.87M,0.23%
2018-05-23,7788.44,7877.45,7877.45,7765.32,944.43M,-1.13%
2018-05-24,7716.74,7788.44,7803.45,7716.74,917.82M,-0.92%
2018-05-25,7730.28,7716.74,7753.32,7703.26,852.47M,0.18%
2018-05-29,7632.64,7730.28,7730.28,7610.66,1.33B,-1.26%
2018-05-30,7689.57,7632.64,7689.57,7618.12,950.54M,0.75%
2018-05-31,7678.2,7689.57,7727.45,7651.12,1.59B,-0.15%
2018-06-01,7701.77,7678.2,7746.73,7678.2,807.70M,0.31%
2018-06-04,7741.29,7701.77,7772.12,7701.7,743.52M,0.51%
2018-06-05,7686.8,7741.29,7744.46,7686.61,962.54M,-0.70%
2018-06-06,7712.37,7686.8,7730.48,7671.62,909.67M,0.33%
2018-06-07,7704.4,7712.37,7756.66,7698.15,1.09B,-0.10%
2018-06-08,7681.07,7704.4,7714.32,7637.52,778.85M,-0.30%
2018-06-11,7737.43,7681.07,7756.02,7681.07,758.83M,0.73%
2018-06-12,7703.81,7737.43,7762.77,7701.33,797.69M,-0.43%
2018-06-13,7703.71,7703.81,7746.7,7677.17,877.98M,0.00%
2018-06-14,7765.79,7703.71,7793.45,7650.16,1.15B,0.81%
2018-06-15,7633.91,7765.79,7781,7633.91,1.76B,-1.70%
2018-06-18,7631.33,7633.91,7645.47,7601.6,683.91M,-0.03%
2018-06-19,7603.85,7631.33,7631.33,7548.84,921.29M,-0.36%
2018-06-20,7627.4,7603.85,7705.2,7603.85,870.10M,0.31%
2018-06-21,7556.44,7627.4,7670.78,7548.12,801.61M,-0.93%
2018-06-22,7682.27,7556.44,7689.44,7556.2,738.42M,1.67%
2018-06-25,7509.84,7682.27,7682.27,7508.32,815.82M,-2.24%
2018-06-26,7537.92,7509.84,7564.05,7509.84,1.12B,0.37%
2018-06-27,7621.69,7537.92,7633.92,7512.03,1.69B,1.11%
2018-06-28,7615.63,7621.69,7632.17,7576.01,815.21M,-0.08%
2018-06-29,7636.93,7615.63,7706.64,7615.63,926.73M,0.28%
2018-07-02,7547.85,7636.93,7636.93,7540.71,802.39M,-1.17%
2018-07-03,7593.29,7547.85,7632.12,7544.98,1.05B,0.60%
2018-07-04,7573.09,7593.29,7593.29,7560.81,591.92M,-0.27%
2018-07-05,7603.22,7573.09,7624.82,7572.69,631.12M,0.40%
2018-07-06,7617.7,7603.22,7631.19,7569.7,684.00M,0.19%
2018-07-09,7687.99,7617.7,7697.46,7617.7,697.51M,0.92%
2018-07-10,7692.04,7687.99,7715.07,7677.06,723.21M,0.05%
2018-07-11,7591.96,7692.04,7692.04,7578.18,816.82M,-1.30%
2018-07-12,7651.33,7591.96,7662.96,7591.96,769.26M,0.78%
2018-07-13,7661.87,7651.33,7716.24,7651.33,592.17M,0.14%
