Date,Price,Open,High,Low,Vol.,Change %
2013-08-15,15070.00,15286.00,15300.00,15056.00,187.54K,-1.53%
2013-08-16,15038.00,15060.00,15113.00,15028.00,146.21K,-0.21%
2013-08-19,15002.00,15040.00,15078.00,14977.00,112.97K,-0.24%
2013-08-20,14985.00,14997.00,15047.00,14959.00,117.49K,-0.11%
2013-08-21,14847.00,14986.00,14998.00,14826.00,188.84K,-0.92%
2013-08-22,14939.00,14830.00,14965.00,14802.00,129.89K,0.62%
2013-08-23,14990.00,14943.00,15006.00,14904.00,117.30K,0.34%
2013-08-26,14931.00,14985.00,15033.00,14920.00,100.67K,-0.39%
2013-08-27,14758.00,14938.00,14943.00,14744.00,176.68K,-1.16%
2013-08-28,14806.00,14756.00,14849.00,14740.00,114.21K,0.33%
2013-08-29,14834.00,14795.00,14901.00,14782.00,116.31K,0.19%
2013-08-30,14795.00,14846.00,14894.00,14745.00,129.79K,-0.26%
2013-09-02,14896.00,14857.00,14920.00,14852.00,0K,0.68%
2013-09-03,14827.00,14850.00,14927.00,14761.00,168.75K,-0.46%
2013-09-04,14924.00,14818.00,14950.00,14782.00,114.04K,0.65%
2013-09-05,14917.00,14935.00,14972.00,14895.00,87.53K,-0.05%
2013-09-06,14909.00,14910.00,15002.00,14776.00,198.20K,-0.05%
2013-09-09,15036.00,14908.00,15083.00,14892.00,116.47K,0.85%
2013-09-10,15173.00,15053.00,15189.00,15040.00,146.44K,0.91%
2013-09-11,15330.00,15183.00,15345.00,15162.00,124.99K,1.03%
2013-09-12,15313.00,15339.00,15347.00,15284.00,127.07K,-0.11%
2013-09-13,15382.00,15316.00,15397.00,15282.00,56.30K,0.45%
2013-09-16,15504.00,15445.00,15640.00,15445.00,47.99K,0.79%
2013-09-17,15533.00,15514.00,15559.00,15480.00,35.09K,0.19%
2013-09-18,15662.00,15544.00,15712.00,15472.00,32.74K,0.83%
2013-09-19,15644.00,15670.00,15727.00,15628.00,26.29K,-0.11%
2013-09-20,15639.30,15650.00,15661.00,15622.00,1.01K,-0.03%
2013-09-23,15326.00,15430.00,15455.00,15305.00,141.51K,-2.00%
2013-09-24,15286.00,15332.00,15370.00,15261.00,128.97K,-0.26%
2013-09-25,15210.00,15282.00,15306.00,15183.00,158.67K,-0.50%
2013-09-26,15261.00,15213.00,15319.00,15208.00,128.40K,0.34%
2013-09-27,15195.00,15296.00,15299.00,15134.00,132.11K,-0.43%
2013-09-30,15046.00,15117.00,15119.00,15001.00,162.62K,-0.98%
2013-10-01,15120.00,15087.00,15140.00,15033.00,154.55K,0.49%
2013-10-02,15025.00,15136.00,15137.00,14968.00,155.07K,-0.63%
2013-10-03,14906.00,15027.00,15031.00,14870.00,228.92K,-0.79%
2013-10-04,14998.00,14893.00,15009.00,14891.00,127.74K,0.62%
2013-10-07,14851.00,14940.00,14951.00,14841.00,142.57K,-0.98%
2013-10-08,14714.00,14848.00,14876.00,14677.00,218.47K,-0.92%
2013-10-09,14728.00,14686.00,14782.00,14648.00,236.85K,0.10%
2013-10-10,15033.00,14723.00,15053.00,14720.00,190.96K,2.07%
2013-10-11,15175.00,15025.00,15193.00,14949.00,144.84K,0.94%
2013-10-14,15225.00,15078.00,15243.00,15037.00,137.86K,0.33%
2013-10-15,15095.00,15236.00,15265.00,15082.00,207.71K,-0.85%
2013-10-16,15249.00,15110.00,15311.00,15086.00,165.93K,1.02%
2013-10-17,15296.00,15239.00,15313.00,15137.00,131.64K,0.31%
2013-10-18,15316.00,15297.00,15353.00,15260.00,126.57K,0.13%
2013-10-21,15322.00,15327.00,15367.00,15297.00,86.51K,0.04%
2013-10-22,15398.00,15321.00,15459.00,15304.00,164.32K,0.50%
2013-10-23,15351.00,15405.00,15405.00,15303.00,135.65K,-0.31%
2013-10-24,15454.00,15361.00,15475.00,15347.00,120.03K,0.67%
2013-10-25,15497.00,15462.00,15514.00,15416.00,99.72K,0.28%
2013-10-28,15518.00,15493.00,15574.00,15468.00,95.13K,0.14%
2013-10-29,15616.00,15517.00,15626.00,15483.00,101.87K,0.63%
2013-10-30,15553.00,15623.00,15676.00,15508.00,163.28K,-0.40%
2013-10-31,15477.00,15541.00,15592.00,15483.00,143.55K,-0.49%
2013-11-01,15542.00,15524.00,15589.00,15481.00,127.93K,0.42%
2013-11-04,15575.00,15540.00,15610.00,15523.00,94.88K,0.21%
2013-11-05,15550.00,15574.00,15589.00,15456.00,140.63K,-0.16%
2013-11-06,15683.00,15553.00,15698.00,15546.00,133.81K,0.86%
2013-11-07,15567.00,15678.00,15779.00,15539.00,209.61K,-0.74%
2013-11-08,15700.00,15544.00,15719.00,15495.00,171.25K,0.85%
2013-11-11,15723.00,15708.00,15743.00,15677.00,80.94K,0.15%
2013-11-12,15710.00,15728.00,15752.00,15657.00,116.72K,-0.08%
2013-11-13,15779.00,15702.00,15811.00,15613.00,141.16K,0.44%
2013-11-14,15839.00,15783.00,15851.00,15763.00,125.84K,0.38%
2013-11-15,15913.00,15839.00,15930.00,15825.00,98.26K,0.47%
2013-11-18,15938.00,15913.00,15994.00,15895.00,125.39K,0.16%
2013-11-19,15934.00,15950.00,15993.00,15909.00,139.07K,-0.03%
2013-11-20,15878.00,15932.00,15989.00,15834.00,189.28K,-0.35%
2013-11-21,15975.00,15880.00,15986.00,15848.00,120.60K,0.61%
2013-11-22,16027.00,15972.00,16043.00,15948.00,107.02K,0.33%
2013-11-25,16062.00,16038.00,16100.00,16028.00,121.23K,0.22%
2013-11-26,16060.00,16051.00,16098.00,16045.00,99.33K,-0.01%
